"id","apofasal","apoperi_id","apoperico","aporico","date","estival","fasal","invernal","invertido","lleno","luna_id","nuevo","otonyal","perico","primaveral","selecto","soe_id","year"
140,0,,0,0,"0135-09-23 21:33:32",0,1,0,0,0,110529,1,1,0,0,0,539,135
141,0,,0,0,"0135-12-21 15:32:37",0,1,1,0,0,6698,1,0,0,0,0,540,135
142,0,,0,0,"0135-12-21 15:32:37",0,1,1,0,0,110541,1,0,0,0,0,540,135
143,0,,0,0,"0139-09-23 20:57:32",0,1,0,0,1,6884,0,1,0,0,0,555,139
144,0,,0,0,"0139-09-23 20:57:32",0,1,0,0,1,110727,0,1,0,0,0,555,139
145,0,,0,0,"0139-12-21 14:58:13",0,1,1,0,1,6896,0,0,0,0,0,556,139
146,0,,0,0,"0139-12-21 14:58:13",0,1,1,0,1,110739,0,0,0,0,0,556,139
147,0,,0,0,"0140-03-20 15:43:49",0,1,0,0,1,6908,0,0,0,1,0,557,140
148,0,,0,0,"0140-03-20 15:43:49",0,1,0,0,1,110751,0,0,0,1,0,557,140
149,0,,0,0,"0144-03-20 14:50:37",0,1,0,0,0,7106,1,0,0,1,0,573,144
150,0,,0,0,"0144-03-20 14:50:37",0,1,0,0,0,110949,1,0,0,1,0,573,144
151,0,,0,0,"0146-09-23 13:28:21",0,1,0,0,0,7230,1,1,0,0,0,583,146
152,0,,0,0,"0146-09-23 13:28:21",0,1,0,0,0,111073,1,1,0,0,0,583,146
153,0,,0,0,"0149-06-22 17:22:45",1,1,0,0,0,7366,1,0,0,0,0,594,149
154,0,,0,0,"0149-06-22 17:22:45",1,1,0,0,0,111209,1,0,0,0,0,594,149
155,0,,0,0,"0150-09-23 12:42:43",0,1,0,0,1,7428,0,1,0,0,0,599,150
156,0,,0,0,"0150-09-23 12:42:43",0,1,0,0,1,111271,0,1,0,0,0,599,150
157,0,,0,0,"0150-12-21 06:55:26",0,1,1,0,1,7440,0,0,0,0,0,600,150
158,0,,0,0,"0150-12-21 06:55:26",0,1,1,0,1,111283,0,0,0,0,0,600,150
159,0,,0,0,"0153-06-22 16:40:57",1,1,0,0,1,7564,0,0,0,0,0,610,153
160,0,,0,0,"0153-06-22 16:40:57",1,1,0,0,1,111407,0,0,0,0,0,610,153
161,0,,0,0,"0154-09-23 12:04:50",0,1,0,0,0,7626,1,1,0,0,0,615,154
162,0,,0,0,"0154-09-23 12:04:50",0,1,0,0,0,111469,1,1,0,0,0,615,154
163,0,,0,0,"0154-12-21 06:13:25",0,1,1,0,0,7638,1,0,0,0,0,616,154
164,0,,0,0,"0154-12-21 06:13:25",0,1,1,0,0,111481,1,0,0,0,0,616,154
